timestamp,anomaly
1393237320,0
1393237620,0
1393237920,0
1393238220,0
1393238520,0
1393238820,0
1393239120,0
1393239420,0
1393239720,0
1393240020,0
1393240320,0
1393240620,0
1393240920,0
1393241220,0
1393241520,0
1393241820,0
1393242120,0
1393242420,0
1393242720,0
1393243020,0
1393243320,0
1393243620,0
1393243920,0
1393244220,0
1393244520,0
1393244820,0
1393245120,0
1393245420,0
1393245720,0
1393246020,0
1393246320,0
1393246620,0
1393246920,0
1393247220,0
1393247520,0
1393247820,0
1393248120,0
1393248420,0
1393248720,0
1393249020,0
1393249320,0
1393249620,0
1393249920,0
1393250220,0
1393250520,0
1393250820,0
1393251120,0
1393251420,0
1393251720,0
1393252020,0
1393252320,0
1393252620,0
1393252920,0
1393253220,0
1393253520,0
1393253820,0
1393254120,0
1393254420,0
1393254720,0
1393255020,0
1393255320,0
1393255620,0
1393255920,0
1393256220,0
1393256520,0
1393256820,0
1393257120,0
1393257420,0
1393257720,0
1393258020,0
1393258320,0
1393258620,0
1393258920,0
1393259220,0
1393259520,0
1393259820,0
1393260120,0
1393260420,0
1393260720,0
1393261020,0
1393261320,0
1393261620,0
1393261920,0
1393262220,0
1393262520,0
1393262820,0
1393263120,0
1393263420,0
1393263720,0
1393264020,0
1393264320,0
1393264620,0
1393264920,0
1393265220,0
1393265520,0
1393265820,0
1393266120,0
1393266420,0
1393266720,0
1393267020,1
1393267320,0
1393267620,1
1393267920,1
1393268220,0
1393268520,1
1393268820,0
1393269120,0
1393269420,1
1393269720,0
1393270020,1
1393270320,1
1393270620,0
1393270920,1
1393271220,0
1393271520,1
1393271820,0
1393272120,0
1393272420,1
1393272720,0
1393273020,1
1393273320,1
1393273620,0
1393273920,1
1393274220,1
1393274520,0
1393274820,1
1393275120,0
1393275420,0
1393275720,1
1393276020,0
1393276320,1
1393276620,1
1393276920,1
1393277220,1
1393277520,0
1393277820,1
1393278120,1
1393278420,1
1393278720,0
1393279020,1
1393279320,1
1393279620,1
1393279920,1
1393280220,1
1393280520,1
1393280820,1
1393281120,1
1393281420,1
1393281720,1
1393282020,1
1393282320,1
1393282620,1
1393282920,1
1393283220,1
1393283520,1
1393283820,1
1393284120,1
1393284420,1
1393284720,1
1393285020,1
1393285320,1
1393285620,1
1393285920,1
1393286220,1
1393286520,1
1393286820,1
1393287120,1
1393287420,1
1393287720,1
1393288020,1
1393288320,1
1393288620,1
1393288920,1
1393289220,1
1393289520,1
1393289820,1
1393290120,1
1393290420,1
1393290720,1
1393291020,1
1393291320,1
1393291620,1
1393291920,1
1393292220,1
1393292520,1
1393292820,1
1393293120,1
1393293420,1
1393293720,1
1393294020,1
1393294320,1
1393294620,1
1393294920,1
1393295220,1
1393295520,1
1393295820,1
1393296120,1
1393296420,1
1393296720,1
1393297020,1
1393297320,1
1393297620,1
1393297920,1
1393298220,1
1393298520,1
1393298820,1
1393299120,1
1393299420,1
1393299720,1
1393300020,1
1393300320,1
1393300620,1
1393300920,1
1393301220,1
1393301520,1
1393301820,1
1393302120,1
1393302420,1
1393302720,1
1393303020,1
1393303320,1
1393303620,1
1393303920,1
1393304220,1
1393304520,1
1393304820,1
1393305120,1
1393305420,1
1393305720,1
1393306020,1
1393306320,1
1393306620,1
1393306920,1
1393307220,1
1393307520,1
1393307820,1
1393308120,1
1393308420,1
1393308720,1
1393309020,1
1393309320,1
1393309620,1
1393309920,1
1393310220,1
1393310520,1
1393310820,1
1393311120,1
1393311420,1
1393311720,1
1393312020,1
1393312320,1
1393312620,1
1393312920,1
1393313220,1
1393313520,1
1393313820,1
1393314120,1
1393314420,1
1393314720,1
1393315020,1
1393315320,1
1393315620,1
1393315920,1
1393316220,1
1393316520,1
1393316820,1
1393317120,1
1393317420,1
1393317720,1
1393318020,1
1393318320,1
1393318620,1
1393318920,1
1393319220,1
1393319520,1
1393319820,1
1393320120,1
1393320420,1
1393320720,1
1393321020,1
1393321320,1
1393321620,1
1393321920,1
1393322220,1
1393322520,1
1393322820,1
1393323120,1
1393323420,1
1393323720,1
1393324020,1
1393324320,1
1393324620,1
1393324920,1
1393325220,1
1393325520,1
1393325820,1
1393326120,1
1393326420,1
1393326720,1
1393327020,1
1393327320,1
1393327620,1
1393327920,1
1393328220,1
1393328520,1
1393328820,1
1393329120,1
1393329420,1
1393329720,1
1393330020,1
1393330320,1
1393330620,1
1393330920,1
1393331220,1
1393331520,1
1393331820,1
1393332120,1
1393332420,1
1393332720,1
1393333020,1
1393333320,1
1393333620,1
1393333920,1
1393334220,1
1393334520,1
1393334820,1
1393335120,1
1393335420,1
1393335720,1
1393336020,1
1393336320,1
1393336620,1
1393336920,1
1393337220,1
1393337520,1
1393337820,1
1393338120,1
1393338420,1
1393338720,1
1393339020,1
1393339320,1
1393339620,1
1393339920,1
1393340220,1
1393340520,1
1393340820,1
1393341120,1
1393341420,1
1393341720,1
1393342020,1
1393342320,1
1393342620,1
1393342920,1
1393343220,1
1393343520,1
1393343820,1
1393344120,1
1393344420,1
1393344720,1
1393345020,1
1393345320,1
1393345620,1
1393345920,1
1393346220,1
1393346520,1
1393346820,1
1393347120,1
1393347420,1
1393347720,1
1393348020,1
1393348320,1
1393348620,1
1393348920,1
1393349220,1
1393349520,1
1393349820,1
1393350120,1
1393350420,1
1393350720,1
1393351020,1
1393351320,1
1393351620,1
1393351920,1
1393352220,1
1393352520,1
1393352820,1
1393353120,1
1393353420,1
1393353720,1
1393354020,1
1393354320,1
1393354620,1
1393354920,1
1393355220,1
1393355520,1
1393355820,1
1393356120,1
1393356420,1
1393356720,1
1393357020,1
1393357320,1
1393357620,1
1393357920,1
1393358220,1
1393358520,1
1393358820,1
1393359120,1
1393359420,1
1393359720,1
1393360020,1
1393360320,1
1393360620,1
1393360920,1
1393361220,1
1393361520,1
1393361820,1
1393362120,1
1393362420,1
1393362720,1
1393363020,1
1393363320,1
1393363620,1
1393363920,1
1393364220,1
1393364520,1
1393364820,1
1393365120,1
1393365420,1
1393365720,1
1393366020,1
1393366320,1
1393366620,1
1393366920,1
1393367220,1
1393367520,1
1393367820,1
1393368120,1
1393368420,1
1393368720,1
1393369020,1
1393369320,1
1393369620,1
1393369920,1
1393370220,1
1393370520,1
1393370820,1
1393371120,1
1393371420,1
1393371720,1
1393372020,1
1393372320,1
1393372620,1
1393372920,1
1393373220,1
1393373520,1
1393373820,1
1393374120,1
1393374420,1
1393374720,1
1393375020,1
1393375320,1
1393375620,1
1393375920,1
1393376220,1
1393376520,1
1393376820,1
1393377120,1
1393377420,1
1393377720,1
1393378020,1
1393378320,1
1393378620,1
1393378920,1
1393379220,1
1393379520,1
1393379820,1
1393380120,1
1393380420,1
1393380720,1
1393381020,1
1393381320,1
1393381620,1
1393381920,1
1393382220,1
1393382520,1
1393382820,1
1393383120,1
1393383420,1
1393383720,1
1393384020,1
1393384320,1
1393384620,1
1393384920,1
1393385220,1
1393385520,1
1393385820,1
1393386120,1
1393386420,1
1393386720,1
1393387020,1
1393387320,1
1393387620,1
1393387920,1
1393388220,1
1393388520,1
1393388820,1
1393389120,1
1393389420,1
1393389720,1
1393390020,1
1393390320,1
1393390620,1
1393390920,1
1393391220,1
1393391520,1
1393391820,1
1393392120,1
1393392420,1
1393392720,1
1393393020,1
1393393320,1
1393393620,1
1393393920,1
1393394220,1
1393394520,1
1393394820,1
1393395120,1
